x,t,u
1.36,0.03,0.59004
1.37,0.03,0.598943
1.38,0.03,0.607913
1.39,0.03,0.616949
1.4,0.03,0.626052
1.41,0.03,0.635222
1.42,0.03,0.644458
1.43,0.03,0.653761
1.44,0.03,0.663131
1.45,0.03,0.672567
1.46,0.03,0.68207
1.47,0.03,0.69164
1.48,0.03,0.701276
1.49,0.03,0.710979
1.5,0.03,0.720749
1.51,0.03,0.730585
1.52,0.03,0.740488
1.53,0.03,0.750458
1.54,0.03,0.760494
1.55,0.03,0.770597
1.56,0.03,0.780767
1.57,0.03,0.791003
1.58,0.03,0.801306
1.59,0.03,0.811676
1.6,0.03,0.822112
1.61,0.03,0.832615
1.62,0.03,0.843185
1.63,0.03,0.853821
1.64,0.03,0.864524
1.65,0.03,0.875294
1.66,0.03,0.88613
1.67,0.03,0.897033
1.68,0.03,0.908003
1.69,0.03,0.919039
1.7,0.03,0.930142
1.71,0.03,0.941312
1.72,0.03,0.952548
1.73,0.03,0.963851
1.74,0.03,0.975221
1.75,0.03,0.986657
1.76,0.03,0.99816
1.77,0.03,1.00973
1.78,0.03,1.02137
1.79,0.03,1.03307
1.8,0.03,1.04484
1.81,0.03,1.05668
1.82,0.03,1.06858
1.83,0.03,1.08055
1.84,0.03,1.09258
1.85,0.03,1.10469
1.86,0.03,1.11686
1.87,0.03,1.12909
1.88,0.03,1.1414
1.89,0.03,1.15377
1.9,0.03,1.1662
1.91,0.03,1.17871
1.92,0.03,1.19128
1.93,0.03,1.20391
1.94,0.03,1.21661
1.95,0.03,1.22938
1.96,0.03,1.24222
1.97,0.03,1.25512
1.98,0.03,1.26809
1.99,0.03,1.28113
0,0.04,0
0.01,0.04,3e-06
0.02,0.04,8e-06
0.03,0.04,1.4e-05
0.04,0.04,2e-05
0.05,0.04,5.93333e-05
0.06,0.04,0.000165333
0.07,0.04,0.000338
0.08,0.04,0.000577333
0.09,0.04,0.000883333
0.1,0.04,0.001256
0.11,0.04,0.00169533
0.12,0.04,0.00220133
0.13,0.04,0.002774
0.14,0.04,0.00341333
0.15,0.04,0.00411933
0.16,0.04,0.004892
0.17,0.04,0.00573133
0.18,0.04,0.00663733
